school_id,school_name,year_school_opened,admission_type,governance,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,school_year
8440,William H. Loesche School,1965,Neighborhood,District,1,1,1,1,1,1,0,0,0,0,0,0,0,2018-19
8450,YES Philly,2013,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8460,Philadelphia Learning Academy South,2009,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8470,Philadelphia Learning Academy North,2009,Alternative,District,0,0,0,0,0,0,0,0,1,1,1,1,1,2018-19
8540,Pennypack House School,1952,Alternative,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8560,The Workshop School,2013,Citywide,District,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8690,Crossroads Accelerated Academy,2009,Alternative,District,0,0,0,0,0,0,0,1,1,1,0,0,0,2018-19
8770,John Hancock Demonstration School,2016,Neighborhood,District,1,1,1,1,1,1,1,1,1,0,0,0,0,2018-19
8780,Philadelphia Virtual Academy,2013,Virtual,District,0,0,0,0,0,0,1,1,1,1,1,1,1,2018-19
8860,One Bright Ray Mansion,2018,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8870,One Bright Ray Mansion Evening,2018,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
8890,One Bright Ray - Simpson Campus,2007,Alternative,Contracted,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-19
